name,email,phone,location,skills,experience_years,education,category,resume_text
Lisa Thompson,david.kim@company.com,+1-555-1609,"Portland, OR","Python, Go, HTML, AWS, Azure, MySQL, Linux, Windows, DevOps",6,"Bachelor Of Engineering Electronics And Telecommunications Pune, Maharashtra Pune University
Cloud Operations Architect (Devops) 

Cloud Operations Architect (Devops) - Devops
Skill Details 
Cloud Computing- Exprience - 48 Months
Shell Scripting- Exprience - 96 Months
Python- Exprience - 6 Months
Automation- Exprience - 72 Months
Solution Architect- Exprience - Less Than 1 Year Months
Azure- Exprience - Less Than 1 Year Months
Aws- Exprience - Less Than 1 Year Monthscompany Details 
Company - Devops
Description - Type: Devops Engineer",DevOps Engineer,"Skills VISA B1-VISA (USA) Onsite Visits to Sweden & US (Seattle) Education Details 
January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute
January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University
Cloud Opera..."
James Anderson,alex.johnson@gmail.com,+1-555-1610,"San Francisco, CA","Python, Java, JavaScript, C++, Go, Spring, HTML, CSS, jQuery, AWS, MySQL, Windows, DevOps",3,Ba,DevOps Engineer,"Software Proficiency: â¢ Languages: Basics of C, SQL, PL/SQL,JAVA,JAVAEE,Javascript,HTML,CSS,jquery,mysql,Spring ,Hibernate. â¢ Software Tools: Xillinx, Modelsim, Matlab, Multisim. â¢ Operating Systems: Windows XP, Vista, 07, 08, Ubuntu. Project Profile: B.E. Project FPGA Implementation of Team S..."
Maria Garcia,sarah.chen@yahoo.com,+1-555-1611,"New York, NY","Java, Go, Jenkins, Git, Linux, DevOps, CI/CD, REST",7,"Masters Of Science Information Technology Hyderabad, Telangana Jntu
Devops Engineer 

Devops Engineer - Nendrasys Technologies Pvt Ltd
Skill Details 
Deployment- Exprience - 27 Months
Git- Exprience - 27 Months
Documentation- Exprience - 26 Months
Change Management- Exprience - 10 Months
Configuration Management- Exprience - 10 Monthscompany Details 
Company - Nendrasys Technologies Pvt Ltd
Description - Date

Project Description:
The Scope Of The Project Is To Design & Develop E-Commerce Product Features For Sloan Project",DevOps Engineer,CORE COMPETENCIES ~ Ant ~ Maven ~ GIT ~ Bitbucket ~ Jenkins ~ Linux ~ Ansible ~ Shell Scripting ~Requirement Gathering ~Continuous Integration and Continuous Deployment ~ Software Development Life Cycle ~ Software Testing Life Cycle ~ Documentation & Reporting ~ Test Reports IT SKILLS â¢ Primary Sk...
Robert Taylor,michael.r@hotmail.com,+1-555-1612,"Seattle, WA","Python, Go, HTML, AWS, Azure, MySQL, Linux, Windows, DevOps",7,"Bachelor Of Engineering Electronics And Telecommunications Pune, Maharashtra Pune University
Cloud Operations Architect (Devops) 

Cloud Operations Architect (Devops) - Devops
Skill Details 
Cloud Computing- Exprience - 48 Months
Shell Scripting- Exprience - 96 Months
Python- Exprience - 6 Months
Automation- Exprience - 72 Months
Solution Architect- Exprience - Less Than 1 Year Months
Azure- Exprience - Less Than 1 Year Months
Aws- Exprience - Less Than 1 Year Monthscompany Details 
Company - Devops
Description - Type: Devops Engineer",DevOps Engineer,"Skills VISA B1-VISA (USA) Onsite Visits to Sweden & US (Seattle) Education Details 
January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute
January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University
Cloud Opera..."
Jennifer Brown,emily.davis@outlook.com,+1-555-1613,"Austin, TX","Python, Java, JavaScript, C++, Go, Spring, HTML, CSS, jQuery, AWS, MySQL, Windows, DevOps",3,Ba,DevOps Engineer,"Software Proficiency: â¢ Languages: Basics of C, SQL, PL/SQL,JAVA,JAVAEE,Javascript,HTML,CSS,jquery,mysql,Spring ,Hibernate. â¢ Software Tools: Xillinx, Modelsim, Matlab, Multisim. â¢ Operating Systems: Windows XP, Vista, 07, 08, Ubuntu. Project Profile: B.E. Project FPGA Implementation of Team S..."
Christopher Moore,david.kim@company.com,+1-555-1614,"Boston, MA","Java, Go, Jenkins, Git, Linux, DevOps, CI/CD, REST",5,"Masters Of Science Information Technology Hyderabad, Telangana Jntu
Devops Engineer 

Devops Engineer - Nendrasys Technologies Pvt Ltd
Skill Details 
Deployment- Exprience - 27 Months
Git- Exprience - 27 Months
Documentation- Exprience - 26 Months
Change Management- Exprience - 10 Months
Configuration Management- Exprience - 10 Monthscompany Details 
Company - Nendrasys Technologies Pvt Ltd
Description - Date

Project Description:
The Scope Of The Project Is To Design & Develop E-Commerce Product Features For Sloan Project",DevOps Engineer,CORE COMPETENCIES ~ Ant ~ Maven ~ GIT ~ Bitbucket ~ Jenkins ~ Linux ~ Ansible ~ Shell Scripting ~Requirement Gathering ~Continuous Integration and Continuous Deployment ~ Software Development Life Cycle ~ Software Testing Life Cycle ~ Documentation & Reporting ~ Test Reports IT SKILLS â¢ Primary Sk...
Alex Johnson,alex.johnson@gmail.com,+1-555-1615,"Los Angeles, CA","Python, Go, HTML, AWS, Azure, MySQL, Linux, Windows, DevOps",8,"Bachelor Of Engineering Electronics And Telecommunications Pune, Maharashtra Pune University
Cloud Operations Architect (Devops) 

Cloud Operations Architect (Devops) - Devops
Skill Details 
Cloud Computing- Exprience - 48 Months
Shell Scripting- Exprience - 96 Months
Python- Exprience - 6 Months
Automation- Exprience - 72 Months
Solution Architect- Exprience - Less Than 1 Year Months
Azure- Exprience - Less Than 1 Year Months
Aws- Exprience - Less Than 1 Year Monthscompany Details 
Company - Devops
Description - Type: Devops Engineer",DevOps Engineer,"Skills VISA B1-VISA (USA) Onsite Visits to Sweden & US (Seattle) Education Details 
January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute
January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University
Cloud Opera..."
Sarah Chen,sarah.chen@yahoo.com,+1-555-1616,"Chicago, IL","Python, Java, JavaScript, C++, Go, Spring, HTML, CSS, jQuery, AWS, MySQL, Windows, DevOps",5,Ba,DevOps Engineer,"Software Proficiency: â¢ Languages: Basics of C, SQL, PL/SQL,JAVA,JAVAEE,Javascript,HTML,CSS,jquery,mysql,Spring ,Hibernate. â¢ Software Tools: Xillinx, Modelsim, Matlab, Multisim. â¢ Operating Systems: Windows XP, Vista, 07, 08, Ubuntu. Project Profile: B.E. Project FPGA Implementation of Team S..."
Michael Rodriguez,michael.r@hotmail.com,+1-555-1617,"Denver, CO","Java, Go, Jenkins, Git, Linux, DevOps, CI/CD, REST",6,"Masters Of Science Information Technology Hyderabad, Telangana Jntu
Devops Engineer 

Devops Engineer - Nendrasys Technologies Pvt Ltd
Skill Details 
Deployment- Exprience - 27 Months
Git- Exprience - 27 Months
Documentation- Exprience - 26 Months
Change Management- Exprience - 10 Months
Configuration Management- Exprience - 10 Monthscompany Details 
Company - Nendrasys Technologies Pvt Ltd
Description - Date

Project Description:
The Scope Of The Project Is To Design & Develop E-Commerce Product Features For Sloan Project",DevOps Engineer,CORE COMPETENCIES ~ Ant ~ Maven ~ GIT ~ Bitbucket ~ Jenkins ~ Linux ~ Ansible ~ Shell Scripting ~Requirement Gathering ~Continuous Integration and Continuous Deployment ~ Software Development Life Cycle ~ Software Testing Life Cycle ~ Documentation & Reporting ~ Test Reports IT SKILLS â¢ Primary Sk...
Emily Davis,emily.davis@outlook.com,+1-555-1618,"Atlanta, GA","Python, Go, HTML, AWS, Azure, MySQL, Linux, Windows, DevOps",7,"Bachelor Of Engineering Electronics And Telecommunications Pune, Maharashtra Pune University
Cloud Operations Architect (Devops) 

Cloud Operations Architect (Devops) - Devops
Skill Details 
Cloud Computing- Exprience - 48 Months
Shell Scripting- Exprience - 96 Months
Python- Exprience - 6 Months
Automation- Exprience - 72 Months
Solution Architect- Exprience - Less Than 1 Year Months
Azure- Exprience - Less Than 1 Year Months
Aws- Exprience - Less Than 1 Year Monthscompany Details 
Company - Devops
Description - Type: Devops Engineer",DevOps Engineer,"Skills VISA B1-VISA (USA) Onsite Visits to Sweden & US (Seattle) Education Details 
January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute
January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University
Cloud Opera..."
David Kim,david.kim@company.com,+1-555-1619,"Portland, OR","Python, Java, JavaScript, C++, Go, Spring, HTML, CSS, jQuery, AWS, MySQL, Windows, DevOps",5,Ba,DevOps Engineer,"Software Proficiency: â¢ Languages: Basics of C, SQL, PL/SQL,JAVA,JAVAEE,Javascript,HTML,CSS,jquery,mysql,Spring ,Hibernate. â¢ Software Tools: Xillinx, Modelsim, Matlab, Multisim. â¢ Operating Systems: Windows XP, Vista, 07, 08, Ubuntu. Project Profile: B.E. Project FPGA Implementation of Team S..."
Jessica Martinez,alex.johnson@gmail.com,+1-555-1620,"San Francisco, CA","Java, Go, Jenkins, Git, Linux, DevOps, CI/CD, REST",9,"Masters Of Science Information Technology Hyderabad, Telangana Jntu
Devops Engineer 

Devops Engineer - Nendrasys Technologies Pvt Ltd
Skill Details 
Deployment- Exprience - 27 Months
Git- Exprience - 27 Months
Documentation- Exprience - 26 Months
Change Management- Exprience - 10 Months
Configuration Management- Exprience - 10 Monthscompany Details 
Company - Nendrasys Technologies Pvt Ltd
Description - Date

Project Description:
The Scope Of The Project Is To Design & Develop E-Commerce Product Features For Sloan Project",DevOps Engineer,CORE COMPETENCIES ~ Ant ~ Maven ~ GIT ~ Bitbucket ~ Jenkins ~ Linux ~ Ansible ~ Shell Scripting ~Requirement Gathering ~Continuous Integration and Continuous Deployment ~ Software Development Life Cycle ~ Software Testing Life Cycle ~ Documentation & Reporting ~ Test Reports IT SKILLS â¢ Primary Sk...
Ryan Patel,sarah.chen@yahoo.com,+1-555-1621,"New York, NY","Python, Go, HTML, AWS, Azure, MySQL, Linux, Windows, DevOps",8,"Bachelor Of Engineering Electronics And Telecommunications Pune, Maharashtra Pune University
Cloud Operations Architect (Devops) 

Cloud Operations Architect (Devops) - Devops
Skill Details 
Cloud Computing- Exprience - 48 Months
Shell Scripting- Exprience - 96 Months
Python- Exprience - 6 Months
Automation- Exprience - 72 Months
Solution Architect- Exprience - Less Than 1 Year Months
Azure- Exprience - Less Than 1 Year Months
Aws- Exprience - Less Than 1 Year Monthscompany Details 
Company - Devops
Description - Type: Devops Engineer",DevOps Engineer,"Skills VISA B1-VISA (USA) Onsite Visits to Sweden & US (Seattle) Education Details 
January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute
January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University
Cloud Opera..."
Amanda Wilson,michael.r@hotmail.com,+1-555-1622,"Seattle, WA","Python, Java, JavaScript, C++, Go, Spring, HTML, CSS, jQuery, AWS, MySQL, Windows, DevOps",5,Ba,DevOps Engineer,"Software Proficiency: â¢ Languages: Basics of C, SQL, PL/SQL,JAVA,JAVAEE,Javascript,HTML,CSS,jquery,mysql,Spring ,Hibernate. â¢ Software Tools: Xillinx, Modelsim, Matlab, Multisim. â¢ Operating Systems: Windows XP, Vista, 07, 08, Ubuntu. Project Profile: B.E. Project FPGA Implementation of Team S..."
Kevin Lee,emily.davis@outlook.com,+1-555-1623,"Austin, TX","Java, Go, Jenkins, Git, Linux, DevOps, CI/CD, REST",10,"Masters Of Science Information Technology Hyderabad, Telangana Jntu
Devops Engineer 

Devops Engineer - Nendrasys Technologies Pvt Ltd
Skill Details 
Deployment- Exprience - 27 Months
Git- Exprience - 27 Months
Documentation- Exprience - 26 Months
Change Management- Exprience - 10 Months
Configuration Management- Exprience - 10 Monthscompany Details 
Company - Nendrasys Technologies Pvt Ltd
Description - Date

Project Description:
The Scope Of The Project Is To Design & Develop E-Commerce Product Features For Sloan Project",DevOps Engineer,CORE COMPETENCIES ~ Ant ~ Maven ~ GIT ~ Bitbucket ~ Jenkins ~ Linux ~ Ansible ~ Shell Scripting ~Requirement Gathering ~Continuous Integration and Continuous Deployment ~ Software Development Life Cycle ~ Software Testing Life Cycle ~ Documentation & Reporting ~ Test Reports IT SKILLS â¢ Primary Sk...
Lisa Thompson,david.kim@company.com,+1-555-1624,"Boston, MA","Python, Go, HTML, AWS, Azure, MySQL, Linux, Windows, DevOps",6,"Bachelor Of Engineering Electronics And Telecommunications Pune, Maharashtra Pune University
Cloud Operations Architect (Devops) 

Cloud Operations Architect (Devops) - Devops
Skill Details 
Cloud Computing- Exprience - 48 Months
Shell Scripting- Exprience - 96 Months
Python- Exprience - 6 Months
Automation- Exprience - 72 Months
Solution Architect- Exprience - Less Than 1 Year Months
Azure- Exprience - Less Than 1 Year Months
Aws- Exprience - Less Than 1 Year Monthscompany Details 
Company - Devops
Description - Type: Devops Engineer",DevOps Engineer,"Skills VISA B1-VISA (USA) Onsite Visits to Sweden & US (Seattle) Education Details 
January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute
January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University
Cloud Opera..."
James Anderson,alex.johnson@gmail.com,+1-555-1625,"Los Angeles, CA","Python, Java, JavaScript, C++, Go, Spring, HTML, CSS, jQuery, AWS, MySQL, Windows, DevOps",4,Ba,DevOps Engineer,"Software Proficiency: â¢ Languages: Basics of C, SQL, PL/SQL,JAVA,JAVAEE,Javascript,HTML,CSS,jquery,mysql,Spring ,Hibernate. â¢ Software Tools: Xillinx, Modelsim, Matlab, Multisim. â¢ Operating Systems: Windows XP, Vista, 07, 08, Ubuntu. Project Profile: B.E. Project FPGA Implementation of Team S..."
Maria Garcia,sarah.chen@yahoo.com,+1-555-1626,"Chicago, IL","Java, Go, Jenkins, Git, Linux, DevOps, CI/CD, REST",6,"Masters Of Science Information Technology Hyderabad, Telangana Jntu
Devops Engineer 

Devops Engineer - Nendrasys Technologies Pvt Ltd
Skill Details 
Deployment- Exprience - 27 Months
Git- Exprience - 27 Months
Documentation- Exprience - 26 Months
Change Management- Exprience - 10 Months
Configuration Management- Exprience - 10 Monthscompany Details 
Company - Nendrasys Technologies Pvt Ltd
Description - Date

Project Description:
The Scope Of The Project Is To Design & Develop E-Commerce Product Features For Sloan Project",DevOps Engineer,CORE COMPETENCIES ~ Ant ~ Maven ~ GIT ~ Bitbucket ~ Jenkins ~ Linux ~ Ansible ~ Shell Scripting ~Requirement Gathering ~Continuous Integration and Continuous Deployment ~ Software Development Life Cycle ~ Software Testing Life Cycle ~ Documentation & Reporting ~ Test Reports IT SKILLS â¢ Primary Sk...
Robert Taylor,michael.r@hotmail.com,+1-555-1627,"Denver, CO","Python, Go, HTML, AWS, Azure, MySQL, Linux, Windows, DevOps",7,"Bachelor Of Engineering Electronics And Telecommunications Pune, Maharashtra Pune University
Cloud Operations Architect (Devops) 

Cloud Operations Architect (Devops) - Devops
Skill Details 
Cloud Computing- Exprience - 48 Months
Shell Scripting- Exprience - 96 Months
Python- Exprience - 6 Months
Automation- Exprience - 72 Months
Solution Architect- Exprience - Less Than 1 Year Months
Azure- Exprience - Less Than 1 Year Months
Aws- Exprience - Less Than 1 Year Monthscompany Details 
Company - Devops
Description - Type: Devops Engineer",DevOps Engineer,"Skills VISA B1-VISA (USA) Onsite Visits to Sweden & US (Seattle) Education Details 
January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute
January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University
Cloud Opera..."
Jennifer Brown,emily.davis@outlook.com,+1-555-1628,"Atlanta, GA","Python, Java, JavaScript, C++, Go, Spring, HTML, CSS, jQuery, AWS, MySQL, Windows, DevOps",6,Ba,DevOps Engineer,"Software Proficiency: â¢ Languages: Basics of C, SQL, PL/SQL,JAVA,JAVAEE,Javascript,HTML,CSS,jquery,mysql,Spring ,Hibernate. â¢ Software Tools: Xillinx, Modelsim, Matlab, Multisim. â¢ Operating Systems: Windows XP, Vista, 07, 08, Ubuntu. Project Profile: B.E. Project FPGA Implementation of Team S..."
Christopher Moore,david.kim@company.com,+1-555-1629,"Portland, OR","Java, Go, Jenkins, Git, Linux, DevOps, CI/CD, REST",9,"Masters Of Science Information Technology Hyderabad, Telangana Jntu
Devops Engineer 

Devops Engineer - Nendrasys Technologies Pvt Ltd
Skill Details 
Deployment- Exprience - 27 Months
Git- Exprience - 27 Months
Documentation- Exprience - 26 Months
Change Management- Exprience - 10 Months
Configuration Management- Exprience - 10 Monthscompany Details 
Company - Nendrasys Technologies Pvt Ltd
Description - Date

Project Description:
The Scope Of The Project Is To Design & Develop E-Commerce Product Features For Sloan Project",DevOps Engineer,CORE COMPETENCIES ~ Ant ~ Maven ~ GIT ~ Bitbucket ~ Jenkins ~ Linux ~ Ansible ~ Shell Scripting ~Requirement Gathering ~Continuous Integration and Continuous Deployment ~ Software Development Life Cycle ~ Software Testing Life Cycle ~ Documentation & Reporting ~ Test Reports IT SKILLS â¢ Primary Sk...
Alex Johnson,alex.johnson@gmail.com,+1-555-1630,"San Francisco, CA","Python, Go, HTML, AWS, Azure, MySQL, Linux, Windows, DevOps",5,"Bachelor Of Engineering Electronics And Telecommunications Pune, Maharashtra Pune University
Cloud Operations Architect (Devops) 

Cloud Operations Architect (Devops) - Devops
Skill Details 
Cloud Computing- Exprience - 48 Months
Shell Scripting- Exprience - 96 Months
Python- Exprience - 6 Months
Automation- Exprience - 72 Months
Solution Architect- Exprience - Less Than 1 Year Months
Azure- Exprience - Less Than 1 Year Months
Aws- Exprience - Less Than 1 Year Monthscompany Details 
Company - Devops
Description - Type: Devops Engineer",DevOps Engineer,"Skills VISA B1-VISA (USA) Onsite Visits to Sweden & US (Seattle) Education Details 
January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute
January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University
Cloud Opera..."
Sarah Chen,sarah.chen@yahoo.com,+1-555-1631,"New York, NY","Python, Java, JavaScript, C++, Go, Spring, HTML, CSS, jQuery, AWS, MySQL, Windows, DevOps",6,Ba,DevOps Engineer,"Software Proficiency: â¢ Languages: Basics of C, SQL, PL/SQL,JAVA,JAVAEE,Javascript,HTML,CSS,jquery,mysql,Spring ,Hibernate. â¢ Software Tools: Xillinx, Modelsim, Matlab, Multisim. â¢ Operating Systems: Windows XP, Vista, 07, 08, Ubuntu. Project Profile: B.E. Project FPGA Implementation of Team S..."
Michael Rodriguez,michael.r@hotmail.com,+1-555-1632,"Seattle, WA","Java, Go, Jenkins, Git, Linux, DevOps, CI/CD, REST",9,"Masters Of Science Information Technology Hyderabad, Telangana Jntu
Devops Engineer 

Devops Engineer - Nendrasys Technologies Pvt Ltd
Skill Details 
Deployment- Exprience - 27 Months
Git- Exprience - 27 Months
Documentation- Exprience - 26 Months
Change Management- Exprience - 10 Months
Configuration Management- Exprience - 10 Monthscompany Details 
Company - Nendrasys Technologies Pvt Ltd
Description - Date

Project Description:
The Scope Of The Project Is To Design & Develop E-Commerce Product Features For Sloan Project",DevOps Engineer,CORE COMPETENCIES ~ Ant ~ Maven ~ GIT ~ Bitbucket ~ Jenkins ~ Linux ~ Ansible ~ Shell Scripting ~Requirement Gathering ~Continuous Integration and Continuous Deployment ~ Software Development Life Cycle ~ Software Testing Life Cycle ~ Documentation & Reporting ~ Test Reports IT SKILLS â¢ Primary Sk...
Emily Davis,emily.davis@outlook.com,+1-555-1633,"Austin, TX","Python, Go, HTML, AWS, Azure, MySQL, Linux, Windows, DevOps",8,"Bachelor Of Engineering Electronics And Telecommunications Pune, Maharashtra Pune University
Cloud Operations Architect (Devops) 

Cloud Operations Architect (Devops) - Devops
Skill Details 
Cloud Computing- Exprience - 48 Months
Shell Scripting- Exprience - 96 Months
Python- Exprience - 6 Months
Automation- Exprience - 72 Months
Solution Architect- Exprience - Less Than 1 Year Months
Azure- Exprience - Less Than 1 Year Months
Aws- Exprience - Less Than 1 Year Monthscompany Details 
Company - Devops
Description - Type: Devops Engineer",DevOps Engineer,"Skills VISA B1-VISA (USA) Onsite Visits to Sweden & US (Seattle) Education Details 
January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute
January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University
Cloud Opera..."
David Kim,david.kim@company.com,+1-555-1634,"Boston, MA","Python, Java, JavaScript, C++, Go, Spring, HTML, CSS, jQuery, AWS, MySQL, Windows, DevOps",7,Ba,DevOps Engineer,"Software Proficiency: â¢ Languages: Basics of C, SQL, PL/SQL,JAVA,JAVAEE,Javascript,HTML,CSS,jquery,mysql,Spring ,Hibernate. â¢ Software Tools: Xillinx, Modelsim, Matlab, Multisim. â¢ Operating Systems: Windows XP, Vista, 07, 08, Ubuntu. Project Profile: B.E. Project FPGA Implementation of Team S..."
Jessica Martinez,alex.johnson@gmail.com,+1-555-1635,"Los Angeles, CA","Java, Go, Jenkins, Git, Linux, DevOps, CI/CD, REST",10,"Masters Of Science Information Technology Hyderabad, Telangana Jntu
Devops Engineer 

Devops Engineer - Nendrasys Technologies Pvt Ltd
Skill Details 
Deployment- Exprience - 27 Months
Git- Exprience - 27 Months
Documentation- Exprience - 26 Months
Change Management- Exprience - 10 Months
Configuration Management- Exprience - 10 Monthscompany Details 
Company - Nendrasys Technologies Pvt Ltd
Description - Date

Project Description:
The Scope Of The Project Is To Design & Develop E-Commerce Product Features For Sloan Project",DevOps Engineer,CORE COMPETENCIES ~ Ant ~ Maven ~ GIT ~ Bitbucket ~ Jenkins ~ Linux ~ Ansible ~ Shell Scripting ~Requirement Gathering ~Continuous Integration and Continuous Deployment ~ Software Development Life Cycle ~ Software Testing Life Cycle ~ Documentation & Reporting ~ Test Reports IT SKILLS â¢ Primary Sk...
Ryan Patel,sarah.chen@yahoo.com,+1-555-1636,"Chicago, IL","Python, Go, HTML, AWS, Azure, MySQL, Linux, Windows, DevOps",7,"Bachelor Of Engineering Electronics And Telecommunications Pune, Maharashtra Pune University
Cloud Operations Architect (Devops) 

Cloud Operations Architect (Devops) - Devops
Skill Details 
Cloud Computing- Exprience - 48 Months
Shell Scripting- Exprience - 96 Months
Python- Exprience - 6 Months
Automation- Exprience - 72 Months
Solution Architect- Exprience - Less Than 1 Year Months
Azure- Exprience - Less Than 1 Year Months
Aws- Exprience - Less Than 1 Year Monthscompany Details 
Company - Devops
Description - Type: Devops Engineer",DevOps Engineer,"Skills VISA B1-VISA (USA) Onsite Visits to Sweden & US (Seattle) Education Details 
January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute
January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University
Cloud Opera..."
Amanda Wilson,michael.r@hotmail.com,+1-555-1637,"Denver, CO","Python, Java, JavaScript, C++, Go, Spring, HTML, CSS, jQuery, AWS, MySQL, Windows, DevOps",4,Ba,DevOps Engineer,"Software Proficiency: â¢ Languages: Basics of C, SQL, PL/SQL,JAVA,JAVAEE,Javascript,HTML,CSS,jquery,mysql,Spring ,Hibernate. â¢ Software Tools: Xillinx, Modelsim, Matlab, Multisim. â¢ Operating Systems: Windows XP, Vista, 07, 08, Ubuntu. Project Profile: B.E. Project FPGA Implementation of Team S..."
Kevin Lee,emily.davis@outlook.com,+1-555-1638,"Atlanta, GA","Java, Go, Jenkins, Git, Linux, DevOps, CI/CD, REST",9,"Masters Of Science Information Technology Hyderabad, Telangana Jntu
Devops Engineer 

Devops Engineer - Nendrasys Technologies Pvt Ltd
Skill Details 
Deployment- Exprience - 27 Months
Git- Exprience - 27 Months
Documentation- Exprience - 26 Months
Change Management- Exprience - 10 Months
Configuration Management- Exprience - 10 Monthscompany Details 
Company - Nendrasys Technologies Pvt Ltd
Description - Date

Project Description:
The Scope Of The Project Is To Design & Develop E-Commerce Product Features For Sloan Project",DevOps Engineer,CORE COMPETENCIES ~ Ant ~ Maven ~ GIT ~ Bitbucket ~ Jenkins ~ Linux ~ Ansible ~ Shell Scripting ~Requirement Gathering ~Continuous Integration and Continuous Deployment ~ Software Development Life Cycle ~ Software Testing Life Cycle ~ Documentation & Reporting ~ Test Reports IT SKILLS â¢ Primary Sk...
Lisa Thompson,david.kim@company.com,+1-555-1639,"Portland, OR","Python, Go, HTML, AWS, Azure, MySQL, Linux, Windows, DevOps",9,"Bachelor Of Engineering Electronics And Telecommunications Pune, Maharashtra Pune University
Cloud Operations Architect (Devops) 

Cloud Operations Architect (Devops) - Devops
Skill Details 
Cloud Computing- Exprience - 48 Months
Shell Scripting- Exprience - 96 Months
Python- Exprience - 6 Months
Automation- Exprience - 72 Months
Solution Architect- Exprience - Less Than 1 Year Months
Azure- Exprience - Less Than 1 Year Months
Aws- Exprience - Less Than 1 Year Monthscompany Details 
Company - Devops
Description - Type: Devops Engineer",DevOps Engineer,"Skills VISA B1-VISA (USA) Onsite Visits to Sweden & US (Seattle) Education Details 
January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute
January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University
Cloud Opera..."
James Anderson,alex.johnson@gmail.com,+1-555-1640,"San Francisco, CA","Python, Java, JavaScript, C++, Go, Spring, HTML, CSS, jQuery, AWS, MySQL, Windows, DevOps",5,Ba,DevOps Engineer,"Software Proficiency: â¢ Languages: Basics of C, SQL, PL/SQL,JAVA,JAVAEE,Javascript,HTML,CSS,jquery,mysql,Spring ,Hibernate. â¢ Software Tools: Xillinx, Modelsim, Matlab, Multisim. â¢ Operating Systems: Windows XP, Vista, 07, 08, Ubuntu. Project Profile: B.E. Project FPGA Implementation of Team S..."
Maria Garcia,sarah.chen@yahoo.com,+1-555-1641,"New York, NY","Java, Go, Jenkins, Git, Linux, DevOps, CI/CD, REST",8,"Masters Of Science Information Technology Hyderabad, Telangana Jntu
Devops Engineer 

Devops Engineer - Nendrasys Technologies Pvt Ltd
Skill Details 
Deployment- Exprience - 27 Months
Git- Exprience - 27 Months
Documentation- Exprience - 26 Months
Change Management- Exprience - 10 Months
Configuration Management- Exprience - 10 Monthscompany Details 
Company - Nendrasys Technologies Pvt Ltd
Description - Date

Project Description:
The Scope Of The Project Is To Design & Develop E-Commerce Product Features For Sloan Project",DevOps Engineer,CORE COMPETENCIES ~ Ant ~ Maven ~ GIT ~ Bitbucket ~ Jenkins ~ Linux ~ Ansible ~ Shell Scripting ~Requirement Gathering ~Continuous Integration and Continuous Deployment ~ Software Development Life Cycle ~ Software Testing Life Cycle ~ Documentation & Reporting ~ Test Reports IT SKILLS â¢ Primary Sk...
Robert Taylor,michael.r@hotmail.com,+1-555-1642,"Seattle, WA","Python, Go, HTML, AWS, Azure, MySQL, Linux, Windows, DevOps",5,"Bachelor Of Engineering Electronics And Telecommunications Pune, Maharashtra Pune University
Cloud Operations Architect (Devops) 

Cloud Operations Architect (Devops) - Devops
Skill Details 
Cloud Computing- Exprience - 48 Months
Shell Scripting- Exprience - 96 Months
Python- Exprience - 6 Months
Automation- Exprience - 72 Months
Solution Architect- Exprience - Less Than 1 Year Months
Azure- Exprience - Less Than 1 Year Months
Aws- Exprience - Less Than 1 Year Monthscompany Details 
Company - Devops
Description - Type: Devops Engineer",DevOps Engineer,"Skills VISA B1-VISA (USA) Onsite Visits to Sweden & US (Seattle) Education Details 
January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute
January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University
Cloud Opera..."
